,POP,RHO,R0
272,45325,30.2925393803012,2.300554950534744
273,45328,63.24043615363989,3.3647526113642967
274,45368,20.60510088882888,1.9855840463573076
275,45370,38.9994312117339,2.6617233955525554
276,45455,14.032632948893834,2.2991582129394015
277,45600,32.35537555118553,3.0245088168851546
278,45605,29.43859714127048,2.801131769755212
279,45613,22.152727595563352,2.446893906799425
280,45656,43.91688688756379,2.443316574683191
281,45672,38.466018441150965,2.158002457695463
282,45739,10.181108608961043,1.4706398246779724
283,45756,40.09534342481847,2.130894998238646
284,46138,43.33965796632756,2.401953888861516
285,46194,26.63886791558442,3.1383462055483595
286,46233,42.75485413661745,2.158002457695463
287,46258,40.25929639616721,2.379478865572791
288,46340,23.64025671461853,2.3088429605153107
289,46341,3.7254545854898575,2.1276130603278114
290,46429,25.796141751935227,2.2626336760540866
291,46498,14.51419311911502,2.693871772969818
292,46523,0.9879346220062714,2.4058765805952516
293,46742,38.256463829872914,2.6233816817686826
294,46811,8.631288347426993,1.5480229189975638
295,46994,21.934986574307647,2.1614388241206104
296,47146,26.7790934947978,2.015720088984778
297,47188,7.273349868382085,1.7611043153582193
298,47429,13.790358693251209,1.975027388817932
299,47581,36.83343185308058,2.110380968538477
300,47744,44.868992391142136,2.7578270770521276
301,47839,12.04814938043036,2.0255913879936185
302,47935,8.056398249975844,1.9311698474859604
303,47972,47.26448841994418,2.837763156129606
304,47995,20.48811793745291,2.030001724347931
305,48111,22.59319817518752,2.1545381085683584
306,48167,11.815760001840792,3.0821560497739644
307,48590,46.01799882412127,2.181086359086003
308,48657,25.06836909900653,2.059356235554581
309,48749,16.66062485904395,2.189581106878304
310,48905,26.60519554505916,2.0276553862173534
311,48954,13.454696968364397,2.2569164099470562
312,49025,6.0191021316706985,1.3021324309366396
313,49172,33.83289349608516,2.6974302855972754
314,49221,47.152260580208186,2.4299883725102345
315,49348,34.30674826836014,2.924107965403241
316,49587,41.78428600078535,2.6593049508227624
317,49699,26.78504060413608,2.6159319665940473
318,49713,40.524889144093606,3.011327253155176
319,49831,19.86696853646453,1.970322010039298
320,49859,21.22000810257956,1.199598100306669
321,49952,16.635890114537265,2.9435575576827486
322,49962,19.68864885671892,1.6865516403426406
323,50022,11.855181640096196,1.876730804891056
324,50104,8.959873717711512,1.892320965447684
325,50113,19.16409838123733,2.1435758922709174
326,50484,31.126765608808373,2.359829350324887
327,50643,25.776502963842297,2.9389969054073903
328,50668,29.013072259201465,1.612011549156578
329,51113,32.99573488505106,2.7269061272903996
330,51439,17.317537394269316,2.5165949584459395
331,51527,47.88685664844047,3.1150638816636778
